@relation images
@attribute faces_detected_up real
@attribute faces_detected_right real
@attribute faces_detected_down real
@attribute faces_detected_left real
@attribute reg0r-avg real
@attribute reg0r-var real
@attribute reg0g-avg real
@attribute reg0g-var real
@attribute reg0b-avg real
@attribute reg0b-var real
@attribute reg1r-avg real
@attribute reg1r-var real
@attribute reg1g-avg real
@attribute reg1g-var real
@attribute reg1b-avg real
@attribute reg1b-var real
@attribute reg2r-avg real
@attribute reg2r-var real
@attribute reg2g-avg real
@attribute reg2g-var real
@attribute reg2b-avg real
@attribute reg2b-var real
@attribute reg3r-avg real
@attribute reg3r-var real
@attribute reg3g-avg real
@attribute reg3g-var real
@attribute reg3b-avg real
@attribute reg3b-var real
@attribute class { "right", "down", "up", "left" }
@data
0,0,2,0,0.4807600542,0.0343556097,0.5516399037,0.0531064648,0.589485862,0.0735633393,0.5957336426,0.0280967183,0.5891251998,0.0274723807,0.5599379106,0.0338866795,0.7525566499,0.0015217506,0.7757257109,0.0014683148,0.7899974082,0.0015273551,0.5396419579,0.040618756,0.5099526066,0.0346207653,0.4821756517,0.0326766832,"down"
1,0,4,0,0.4401074219,0.0106455909,0.402175293,0.0099312975,0.4175195313,0.0108901485,0.716340332,0.0013014235,0.8043676758,0.0009667995,0.9626660156,0.0009351417,0.3844754278,0.0418579266,0.3573370983,0.0327356932,0.3864024677,0.0383668004,0.4285299718,0.0232839416,0.4213076482,0.0227818908,0.4551726836,0.0407465048,"down"
2,0,2,0,0.7406396484,0.0470862921,0.7255869141,0.0524179134,0.7079121094,0.0584764122,0.4322099609,0.1600887414,0.4348730469,0.1663309134,0.4376357422,0.1667175376,0.6684234802,0.0393424839,0.6340033981,0.0645706215,0.6224266699,0.0745020501,0.5153318358,0.0890635267,0.4984872728,0.1081803935,0.4889288171,0.1169284701,"up"
0,0,1,0,0.4522857666,0.0386001428,0.4237747192,0.0475978823,0.3984909058,0.051216376,0.4309959412,0.0178043858,0.2788333893,0.0110529897,0.1614322662,0.0040216182,0.4853986718,0.0367856246,0.4461069915,0.0392807837,0.427495009,0.0425261431,0.4051422955,0.0492765946,0.3245803455,0.0534264601,0.258825986,0.0358552173,"down"
0,0,0,0,0.3014237253,0.0315637727,0.3983122173,0.049286103,0.4977491948,0.0756813552,0.4372986911,0.0248640475,0.5537205746,0.0162724758,0.6806501422,0.0300751713,0.2914128223,0.0002348828,0.44315649,0.0003772399,0.6482474739,0.0005731842,0.3886604449,0.1119336069,0.451091864,0.0822431337,0.5056179133,0.0550031295,"left"
0,0,0,0,0.143447876,0.0003115827,0.1572654031,0.0002890268,0.1711689342,0.0004433664,0.194041859,0.0097900306,0.2127311013,0.0135572569,0.2060533003,0.008038827,0.4835400622,0.0537622721,0.5069220231,0.0432412051,0.5285267328,0.0424724957,0.3020123667,0.0367880684,0.3108171653,0.0354866165,0.3299466825,0.0340722042,"up"
3,0,0,0,0.4919264052,0.0323540748,0.4113176134,0.0091779851,0.360039605,0.0093260163,0.4506530762,0.0063464069,0.5270233154,0.0060233374,0.303797404,0.0082638355,0.4830012493,0.0232621701,0.4963336472,0.0200356165,0.4309480917,0.0387009326,0.4155154621,0.0102834974,0.4607202346,0.0111209225,0.3393707452,0.0053516418,"up"
2,1,0,0,0.3794030084,0.0003345658,0.5864800347,0.0003401541,0.8143632677,0.0003041478,0.2664557563,0.0343435459,0.2681596544,0.0351944297,0.29949273,0.0317024609,0.4961797509,0.0252997898,0.5605649804,0.0373582494,0.632511497,0.0569246785,0.5641204374,0.0251507188,0.6264597516,0.0273488419,0.6981844764,0.0398938123,"up"
0,4,0,6,0.2830130837,0.0107350855,0.1864721125,0.0034402068,0.1769201105,0.0026655394,0.2483742454,0.0389756301,0.1743691184,0.0130195292,0.1690868031,0.0069696432,0.37417617,0.1243547279,0.3704717121,0.1229935234,0.4093472305,0.1058525085,0.4860504295,0.0996266068,0.4260478377,0.1171051761,0.3853580421,0.1030796501,"up"
0,0,2,0,0.3026705655,0.044292836,0.3096632524,0.0390075332,0.2584644664,0.0433223874,0.8132282604,0.0026933016,0.8288560347,0.0020698329,0.8543382124,0.0013564669,0.4821053021,0.0723539932,0.5105764959,0.0666125299,0.4880498371,0.0960111037,0.4252851007,0.1094750858,0.4555428021,0.1020869948,0.4167505924,0.1222407539,"down"
0,1,4,0,0.5229229888,0.0176689795,0.5354084614,0.0181593062,0.5470495303,0.0223249927,0.2573403603,0.0516248161,0.2733113943,0.0550694149,0.2381874274,0.0713221052,0.5762020391,0.0420312791,0.5977950048,0.0441988837,0.6188555743,0.0478659594,0.4951752534,0.0614098615,0.512905707,0.0654238188,0.516281069,0.0778408091,"down"
1,0,2,0,0.3924730089,0.0240357871,0.3570726183,0.0221830049,0.3436228434,0.0228496827,0.1673465305,0.0093990998,0.1237911648,0.0048350914,0.103386773,0.002688643,0.4036609212,0.016285493,0.3075277919,0.0120756825,0.2710566338,0.0111855835,0.2952500362,0.0240038726,0.2705858922,0.0166458199,0.2685490295,0.0190541155,"down"
0,0,0,0,0.7280897661,0.0858742136,0.7310222279,0.0875769662,0.7343209007,0.0851497783,0.1902174516,0.0242039842,0.1791409579,0.021491283,0.1588328968,0.0191699093,0.6567572571,0.023356711,0.6200514662,0.029504863,0.6033989929,0.0350949228,0.044653436,0.0034073493,0.0458030954,0.0033643831,0.0392513329,0.0031132201,""right""
1,0,0,0,0.0602493286,0.0150505313,0.0144882202,0.0026401174,0.0060424805,0.0004628859,0.4802703857,0.0492242181,0.2847251892,0.0673230369,0.1953544617,0.0372290743,0.1643939703,0.0809003762,0.1276364638,0.0580011683,0.0745808176,0.0197434471,0.4353479928,0.0324234032,0.2735547895,0.0338632033,0.2007792102,0.02296017,"up"
1,0,2,0,0.3192905395,0.0348491274,0.3290612087,0.036564715,0.3356842798,0.0433676961,0.2507737845,0.0383702076,0.2823072701,0.0408555904,0.2111231276,0.039434966,0.4100913972,0.0870381022,0.4144199445,0.0906116696,0.4135632843,0.0994918805,0.1316949204,0.0159826271,0.1492805864,0.0164012444,0.1218885738,0.0210095955,"down"
0,0,0,0,0.0274866278,0.0068103359,0.022345803,0.0027022744,0.0090720437,0.0005920541,0.0055320046,8.16E-006,0.0075711337,1.22E-005,0.006550182,7.24E-006,0.005139218,8.95E-006,0.0080291025,1.01E-005,0.0065776807,6.05E-006,0.0266069313,0.0073814712,0.0289155065,0.0078662991,0.0179909656,0.0049814373,"down"
